tld	verdict	host	needle	reason
travelers	accept	whois.nic.travelers	domain not found	needle verified against both probes
travelersinsurance	accept	whois.nic.travelersinsurance	domain not found	needle verified against both probes
trust	accept	whois.registry.click	is available for registration	needle verified against both probes
trv	accept	whois.nic.trv	domain not found	needle verified against both probes
tt	no-server			IANA lists no WHOIS server for this TLD
tui	accept	whois.nic.tui	the queried object does not exist	needle verified against both probes
tunes	no-server			IANA lists no WHOIS server for this TLD
tushu	no-server			IANA lists no WHOIS server for this TLD
tvs	accept	whois.nic.tvs	domain not found	needle verified against both probes
ubank	accept	whois.nic.ubank	domain not found	needle verified against both probes
ubs	accept	whois.nic.ubs	domain not found	needle verified against both probes
ug	reject	whois.co.ug		registered registry.ug reads as AVAILABLE (-)
unicom	accept	whois.nic.unicom	the queried object does not exist	needle verified against both probes
uol	no-server			IANA lists no WHOIS server for this TLD
ups	accept	whois.nic.ups	domain not found	needle verified against both probes
uy	reject	whois.nic.org.uy		free probe: whois.nic.org.uy: timed out
uz	accept	whois.cctld.uz	not found in database	needle verified against both probes
va	no-server			IANA lists no WHOIS server for this TLD
vana	accept	whois.registry.click	is available for registration	needle verified against both probes
vanguard	accept	whois.nic.vanguard	domain not found	needle verified against both probes
verisign	accept	whois.nic.verisign	no match for	needle verified against both probes
versicherung	accept	whois.nic.versicherung	the queried object does not exist	needle verified against both probes
vi	reject	virgil.nic.vi		free probe: virgil.nic.vi: [Errno 61] Connection refused
vig	accept	whois.nic.vig	domain not found	needle verified against both probes
viking	accept	whois.nic.viking	domain not found	needle verified against both probes
vin	no-server			IANA lists no WHOIS server for this TLD
virgin	no-server			IANA lists no WHOIS server for this TLD
visa	accept	whois.nic.visa	domain not found	needle verified against both probes
viva	accept	whois.nic.viva	the queried object does not exist	needle verified against both probes
vivo	no-server			IANA lists no WHOIS server for this TLD
vlaanderen	no-server			IANA lists no WHOIS server for this TLD
vn	no-server			IANA lists no WHOIS server for this TLD
vodka	reject	whois.nic.vodka		free probe: back end resting after repeated failures
volvo	accept	whois.nic.volvo	domain not found	needle verified against both probes
vu	reject	whois.dnrs.vu		free probe: back end resting after repeated failures
walmart	reject	whois.nic.walmart		free probe: back end resting after repeated failures
walter	reject	whois.nic.walter		free probe: back end resting after repeated failures
wang	accept	whois.gtld.zdns.cn	the queried object does not exist	needle verified against both probes
wanggou	no-server			IANA lists no WHOIS server for this TLD
watches	no-server			IANA lists no WHOIS server for this TLD
weather	no-server			IANA lists no WHOIS server for this TLD
weatherchannel	no-server			IANA lists no WHOIS server for this TLD
web	no-server			IANA lists no WHOIS server for this TLD
weber	accept	whois.nic.weber	domain not found	needle verified against both probes
wed	no-server			IANA lists no WHOIS server for this TLD
wedding	reject	whois.nic.wedding		free probe: back end resting after repeated failures
weibo	accept	whois.nic.weibo	the queried object does not exist	needle verified against both probes
weir	accept	whois.nic.weir	domain not found	needle verified against both probes
whoswho	accept	whois.nic.whoswho	the queried object does not exist	needle verified against both probes
wien	accept	whois.nic.wien	no information was found matching that query	needle verified against both probes
williamhill	no-server			IANA lists no WHOIS server for this TLD
windows	no-server			IANA lists no WHOIS server for this TLD
wine	no-server			IANA lists no WHOIS server for this TLD
winners	no-server			IANA lists no WHOIS server for this TLD
wme	accept	whois.nic.wme	the queried object does not exist	needle verified against both probes
woodside	reject	whois.nic.woodside		free probe: back end resting after repeated failures
wow	no-server			IANA lists no WHOIS server for this TLD
wtc	reject	whois.nic.wtc		free probe: back end resting after repeated failures
xbox	no-server			IANA lists no WHOIS server for this TLD
xerox	reject	whois.nic.xerox		free probe: back end resting after repeated failures
xihuan	reject	whois.teleinfo.cn		registered nic.xihuan reads as AVAILABLE (-)
xin	accept	whois.nic.xin	domain not found	needle verified against both probes
xn--11b4c3d	accept	whois.nic.xn--11b4c3d	no match for	needle verified against both probes
xn--1ck2e1b	accept	whois.nic.xn--1ck2e1b	domain not found	needle verified against both probes
xn--1qqw23a	accept	whois.ngtld.cn	the queried object does not exist	needle verified against both probes
xn--2scrj9c	reject	whois.nixiregistry.in		no DNS-proven registered name found under .xn--2scrj9c
xn--30rr7y	accept	whois.gtld.zdns.cn	the queried object does not exist	needle verified against both probes
xn--3bst00m	accept	whois.gtld.zdns.cn	the queried object does not exist	needle verified against both probes
xn--3ds443g	accept	whois.teleinfo.cn	no matching record	needle verified against both probes
xn--3e0b707e	accept	whois.kr	not found	needle verified against both probes
xn--3hcrj9c	reject	whois.nixiregistry.in		no DNS-proven registered name found under .xn--3hcrj9c
xn--3pxu8k	accept	whois.nic.xn--3pxu8k	no match for	needle verified against both probes
xn--42c2d9a	accept	whois.nic.xn--42c2d9a	no match for	needle verified against both probes
xn--45br5cyl	reject	whois.nixiregistry.in		no DNS-proven registered name found under .xn--45br5cyl
xn--45brj9c	reject	whois.nixiregistry.in		no DNS-proven registered name found under .xn--45brj9c
xn--45q11c	accept	whois.gtld.zdns.cn	the queried object does not exist	needle verified against both probes
xn--4dbrk0ce	reject	whois.isoc.org.il		no DNS-proven registered name found under .xn--4dbrk0ce
xn--4gbrim	accept	whois.nic.xn--4gbrim	the queried object does not exist	needle verified against both probes
xn--54b7fta0cc	no-server			IANA lists no WHOIS server for this TLD
xn--55qw42g	accept	whois.nic.xn--55qw42g	the queried object does not exist	needle verified against both probes
xn--55qx5d	accept	whois.ngtld.cn	the queried object does not exist	needle verified against both probes
xn--5su34j936bgsg	accept	whois.nic.xn--5su34j936bgsg	domain not found	needle verified against both probes
xn--5tzm5g	reject	whois.nic.xn--5tzm5g		registered xn--5tzm5g.xn--5tzm5g reads as UNKNOWN (whois said: tld is not supported)
xn--6frz82g	no-server			IANA lists no WHOIS server for this TLD
xn--6qq986b3xl	accept	whois.gtld.zdns.cn	the queried object does not exist	needle verified against both probes
xn--80adxhks	accept	whois.nic.xn--80adxhks	domain not found	needle verified against both probes
xn--80ao21a	accept	whois.nic.kz	nothing found	needle verified against both probes
xn--80aqecdr1a	reject	whois.nic.xn--80aqecdr1a		free probe: back end resting after repeated failures
xn--80asehdb	accept	whois.nic.xn--80asehdb	the queried object does not exist	needle verified against both probes
xn--80aswg	accept	whois.nic.xn--80aswg	the queried object does not exist	needle verified against both probes
xn--8y0a063a	accept	whois.nic.xn--8y0a063a	the queried object does not exist	needle verified against both probes
xn--90a3ac	reject	whois.rnids.rs		no DNS-proven registered name found under .xn--90a3ac
xn--90ae	reject	whois.imena.bg		no DNS-proven registered name found under .xn--90ae
xn--90ais	reject	whois.cctld.by		no DNS-proven registered name found under .xn--90ais
xn--9dbq2a	accept	whois.nic.xn--9dbq2a	no match for	needle verified against both probes
xn--9et52u	accept	whois.gtld.zdns.cn	the queried object does not exist	needle verified against both probes
xn--9krt00a	accept	whois.nic.xn--9krt00a	the queried object does not exist	needle verified against both probes
xn--b4w605ferd	accept	whois.nic.xn--b4w605ferd	domain not found	needle verified against both probes
xn--bck1b9a5dre4c	accept	whois.nic.xn--bck1b9a5dre4c	domain not found	needle verified against both probes
xn--c1avg	accept	whois.nic.xn--c1avg	domain not found	needle verified against both probes
xn--c2br7g	accept	whois.nic.xn--c2br7g	no match for	needle verified against both probes
xn--cck2b3b	accept	whois.nic.xn--cck2b3b	domain not found	needle verified against both probes
xn--cckwcxetd	no-server			IANA lists no WHOIS server for this TLD
xn--cg4bki	reject	whois.kr		no DNS-proven registered name found under .xn--cg4bki
xn--clchc0ea0b2g2a9gcd	reject	whois.ta.sgnic.sg		no DNS-proven registered name found under .xn--clchc0ea0b2g2a9gcd
xn--czr694b	no-server			IANA lists no WHOIS server for this TLD
xn--czrs0t	no-server			IANA lists no WHOIS server for this TLD
xn--czru2d	accept	whois.gtld.zdns.cn	the queried object does not exist	needle verified against both probes
xn--d1acj3b	accept	whois.nic.xn--d1acj3b	the queried object does not exist	needle verified against both probes
xn--d1alf	accept	whois.marnet.mk	no entries found	needle verified against both probes
xn--e1a4c	reject	whois.eu		no DNS-proven registered name found under .xn--e1a4c
xn--eckvdtc9d	accept	whois.nic.xn--eckvdtc9d	domain not found	needle verified against both probes
xn--efvy88h	accept	whois.gtld.zdns.cn	the queried object does not exist	needle verified against both probes
xn--fct429k	accept	whois.nic.xn--fct429k	domain not found	needle verified against both probes
xn--fhbei	accept	whois.nic.xn--fhbei	no match for	needle verified against both probes
xn--fiq228c5hs	accept	whois.teleinfo.cn	no matching record	needle verified against both probes
xn--fiq64b	accept	whois.gtld.zdns.cn	the queried object does not exist	needle verified against both probes
xn--fiqs8s	accept	whois.cnnic.cn	no matching record	needle verified against both probes
xn--fiqz9s	accept	whois.cnnic.cn	no matching record	needle verified against both probes
xn--fjq720a	no-server			IANA lists no WHOIS server for this TLD
xn--flw351e	no-server			IANA lists no WHOIS server for this TLD
xn--fpcrj9c3d	reject	whois.nixiregistry.in		no DNS-proven registered name found under .xn--fpcrj9c3d
xn--fzc2c9e2c	no-server			IANA lists no WHOIS server for this TLD
xn--fzys8d69uvgm	accept	whois.nic.xn--fzys8d69uvgm	domain not found	needle verified against both probes
xn--g2xx48c	reject	whois.nic.xn--g2xx48c		free probe: back end resting after repeated failures
xn--gckr3f0f	accept	whois.nic.xn--gckr3f0f	domain not found	needle verified against both probes
xn--gecrj9c	reject	whois.nixiregistry.in		no DNS-proven registered name found under .xn--gecrj9c
xn--gk3at1e	accept	whois.nic.xn--gk3at1e	domain not found	needle verified against both probes
xn--h2breg3eve	reject	whois.nixiregistry.in		no DNS-proven registered name found under .xn--h2breg3eve
xn--h2brj9c	reject	whois.nixiregistry.in		no DNS-proven registered name found under .xn--h2brj9c
xn--h2brj9c8c	reject	whois.nixiregistry.in		no DNS-proven registered name found under .xn--h2brj9c8c
xn--hxt814e	accept	whois.gtld.zdns.cn	the queried object does not exist	needle verified against both probes
xn--i1b6b1a6a2e	accept	whois.nic.xn--i1b6b1a6a2e	domain not found	needle verified against both probes
